year,gross,popularity,imdb_score,vote_average,genre
1990,82670733,16.3,5.9,5.9,Спортивные
1992,70162869,11.4,6.8,6.6,Спортивные
1993,35853263,15.2,6.6,6.4,Спортивные
1994,25879976,29.4,7.2,7.2,Спортивные
1996,63343502,20.4,6.6,6.3,Спортивные
1997,12581053,10.0,5.9,6.0,Спортивные
1998,58642899,10.9,6.6,6.5,Спортивные
1999,33074707,11.0,6.8,6.6,Спортивные
2000,40221795,9.8,6.8,6.4,Спортивные
2001,45616091,8.7,6.4,6.0,Спортивные
2002,32930269,9.1,5.4,5.3,Спортивные
2003,73243336,10.6,7.6,7.0,Спортивные
2004,37944482,18.4,6.8,6.3,Спортивные
2005,36952778,10.4,6.3,6.1,Спортивные
2006,62770479,15.2,6.3,6.2,Спортивные
2007,24090038,11.5,6.0,5.8,Спортивные
2008,25714793,15.5,6.0,6.0,Спортивные
2009,54022489,15.5,7.3,6.6,Спортивные
2010,27118378,8.3,6.2,6.3,Спортивные
2011,62884970,23.5,6.6,6.0,Спортивные
2012,21197709,15.8,7.1,6.4,Спортивные
2013,60132523,24.7,6.8,6.4,Спортивные
2014,74121766,29.4,7.0,6.9,Спортивные
2015,44447058,37.8,7.0,6.6,Спортивные
2016,15785632,29.4,7.5,7.2,Спортивные
1947,7927,8.1,7.7,7.2,Триллеры
1948,90356857,5.3,7.1,7.3,Триллеры
1960,32000000,93.1,8.5,8.2,Триллеры
1961,43650000,23.4,7.6,7.0,Триллеры
1962,16067035,48.9,7.3,6.9,Триллеры
1963,24800000,41.3,7.5,6.9,Триллеры
1964,51100000,47.8,7.8,7.2,Триллеры
1965,63600000,31.0,7.0,6.5,Триллеры
1967,43100000,28.7,6.9,6.5,Триллеры
1968,37553932,49.3,6.7,8.1,Триллеры
1970,180011740,24.4,5.7,6.2,Триллеры
1971,104750870,17.8,5.9,5.9,Триллеры
1972,164864108,17.0,6.0,6.3,Триллеры
1973,87454197,24.3,6.1,6.4,Триллеры
1974,30859000,29.3,7.5,7.2,Триллеры
1975,33577889,61.4,5.0,7.2,Триллеры
1977,47128225,14.9,7.1,6.2,Триллеры
1978,60980594,27.6,7.4,7.0,Триллеры
1979,92920758,41.1,6.7,6.8,Триллеры
1980,34726466,8.6,6.9,7.0,Триллеры
1981,19133283,13.6,6.7,6.4,Триллеры
1982,46925000,11.2,7.4,5.1,Триллеры
1983,66995000,20.2,6.5,6.1,Триллеры
1984,31754644,30.2,6.1,7.0,Триллеры
1985,87544593,15.8,7.2,6.2,Триллеры
1986,8254922,13.2,5.8,5.9,Триллеры
1987,63179778,19.1,5.9,5.8,Триллеры
1988,41301388,17.4,6.7,6.3,Триллеры
1989,43665882,13.9,7.0,6.0,Триллеры
1990,105937565,32.3,6.8,6.5,Триллеры
1991,38799016,14.6,6.7,6.2,Триллеры
1992,50059704,23.7,6.7,6.4,Триллеры
1993,70539037,17.5,6.8,6.3,Триллеры
1994,48987297,14.0,6.0,5.8,Триллеры
1995,55797550,23.3,6.7,6.2,Триллеры
1996,50976051,15.3,6.3,5.9,Триллеры
1997,60056112,21.3,6.5,6.2,Триллеры
1998,53422923,18.8,6.4,6.2,Триллеры
1999,44915687,15.3,6.4,6.2,Триллеры
2000,52865673,15.9,6.2,5.9,Триллеры
2001,51355077,17.9,6.3,6.1,Триллеры
2002,46925405,19.9,6.4,5.8,Триллеры
2003,43813108,19.5,6.4,6.1,Триллеры
2004,41258910,27.5,6.4,6.3,Триллеры
2005,41280669,19.8,6.4,6.0,Триллеры
2006,48604583,23.1,6.6,6.3,Триллеры
2007,40047710,20.0,6.5,6.1,Триллеры
2008,52109004,23.9,6.4,6.1,Триллеры
2009,43681881,23.0,6.3,5.9,Триллеры
2010,41090935,28.3,6.3,6.2,Триллеры
2011,43302980,27.5,6.4,6.0,Триллеры
2012,59475490,33.1,6.4,5.9,Триллеры
2013,68687379,36.4,6.4,6.1,Триллеры
2014,63339466,47.8,6.4,5.9,Триллеры
2015,66428433,58.1,6.4,6.0,Триллеры
2016,41804921,37.5,6.6,6.1,Триллеры
1938,34293771,0.5,5.5,4.8,Военные
1939,198655278,49.0,8.2,7.7,Военные
1946,23650000,8.4,8.1,7.6,Военные
1952,528972,9.0,7.8,6.6,Военные
1957,27200000,23.1,8.2,7.7,Военные
1962,6000000,41.3,8.4,7.8,Военные
1965,55868436,8.2,7.4,6.8,Военные
1966,23091,88.4,6.2,8.1,Военные
1970,9750000,5.3,6.8,5.9,Военные
1977,25900000,12.0,6.8,6.6,Военные
1979,78800000,50.0,8.5,8.0,Военные
1980,69800000,12.2,6.1,6.0,Военные
1981,11433134,27.0,8.4,7.9,Военные
1986,137963328,49.8,8.1,7.5,Военные
1987,23091,18.4,6.2,7.1,Военные
1988,53715611,31.3,5.7,5.7,Военные
1989,40081398,15.3,7.4,7.0,Военные
1991,14587732,6.8,5.7,5.7,Военные
1992,64199052,41.4,7.0,7.1,Военные
1993,10769960,5.5,7.7,6.6,Военные
1994,66528842,27.0,7.5,7.2,Военные
1995,42869294,22.3,7.6,7.1,Военные
1996,49533631,16.9,7.0,6.6,Военные
1997,29262339,29.2,6.6,6.9,Военные
1998,88287113,39.7,7.3,7.4,Военные
1999,18137868,13.3,6.9,6.3,Военные
2000,63648448,15.0,7.2,6.1,Военные
2001,63436482,24.1,6.9,6.3,Военные
2002,22672300,15.3,6.9,6.5,Военные
2003,40564499,18.8,6.8,6.6,Военные
2004,19536226,17.0,7.0,6.5,Военные
2005,16950247,12.2,7.0,6.6,Военные
2006,24958630,21.9,7.1,6.9,Военные
2007,7911560,12.9,7.0,6.6,Военные
2008,12342633,16.8,7.0,6.6,Военные
2009,33423332,21.3,6.7,6.5,Военные
2010,16981130,16.9,6.6,6.3,Военные
2011,34343095,19.0,6.8,6.5,Военные
2012,27509410,11.9,7.0,6.5,Военные
2013,36812800,28.3,7.3,6.6,Военные
2014,71737646,38.5,6.7,6.4,Военные
2015,34502776,18.3,7.4,6.4,Военные
2016,20568657,27.1,7.2,6.3,Военные
1946,20400000,7.6,6.9,6.2,Вестерн
1964,3500000,38.8,8.0,7.6,Вестерн
1965,14873,3.5,6.8,6.2,Вестерн
1974,119500000,22.8,7.8,7.2,Вестерн
1980,1500000,5.4,6.8,6.4,Вестерн
1981,89289910,11.7,6.5,3.7,Вестерн
1985,37300000,12.8,7.2,7.0,Вестерн
1988,44726644,9.5,6.8,6.6,Вестерн
1990,97762860,34.3,7.4,7.1,Вестерн
1991,7434726,12.9,6.0,6.1,Вестерн
1992,101157447,37.4,8.3,7.7,Вестерн
1993,56505065,30.5,7.8,7.4,Вестерн
1994,45790421,20.4,7.0,6.8,Вестерн
1995,18636537,16.5,6.4,6.3,Вестерн
1998,59813244,15.7,6.4,6.3,Вестерн
1999,57188093,23.1,5.8,5.8,Вестерн
2000,18316823,9.7,6.4,5.8,Вестерн
2001,6944180,6.2,5.6,5.6,Вестерн
2002,73215310,41.7,7.0,7.4,Вестерн
2003,58328680,19.1,7.5,7.0,Вестерн
2004,37366485,12.7,6.2,6.0,Вестерн
2005,17426795,19.3,6.9,6.7,Вестерн
2007,19515208,29.3,7.0,6.3,Вестерн
2008,46711156,15.5,6.9,5.5,Вестерн
2010,38022667,16.9,6.5,6.0,Вестерн
2011,41599538,11.8,6.6,6.4,Вестерн
2012,84349943,43.9,7.0,6.6,Вестерн
2013,89289910,49.0,6.5,5.9,Вестерн
2014,85749706,26.1,6.4,6.2,Вестерн
2015,79327069,61.4,7.6,7.2,Вестерн
2016,1512815,15.3,5.8,5.4,Вестерн
